"company_name","company_number","reg_address_care_of","reg_address_po_box","reg_address_line1","reg_address_line2","reg_address_post_town","reg_address_county","reg_address_country","reg_address_post_code","company_category","company_status","country_of_origin","dissolution_date","incorporation_date","accounts_ref_day","accounts_ref_month","accounts_next_due_date","accounts_last_made_up_date","accounts_category","returns_next_due_date","returns_last_made_up_date","mortgages_num_charges","mortgages_num_outstanding","mortgages_num_part_satisfied","mortgages_num_satisfied","sic_code_text_1","sic_code_text_2","sic_code_text_3","sic_code_text_4","limited_partnerships_num_gen_partners","limited_partnerships_num_lim_partners","uri","previous_name_1_condate","previous_name_1_company_name","previous_name_2_condate","previous_name_2_company_name","previous_name_3_condate","previous_name_3_company_name","previous_name_4_condate","previous_name_4_company_name","previous_name_5_condate","previous_name_5_company_name","previous_name_6_condate","previous_name_6_company_name","previous_name_7_condate","previous_name_7_company_name","previous_name_8_condate","previous_name_8_company_name","previous_name_9_condate","previous_name_9_company_name","previous_name_10_condate","previous_name_10_company_name","conf_stmt_next_due_date","conf_stmt_last_made_up_date"
"""BOCI"" DEEP CLEAN LTD","15727849","","","23A GRANGE PARK","","LONDON","","UNITED KINGDOM","W5 3PS","Private Limited Company","Active","United Kingdom",NULL,"2024-05-18",31,5,"2026-02-18",NULL,"NO ACCOUNTS FILED","2025-06-15",NULL,0,0,0,0,"81210 - General cleaning of buildings","81222 - Specialised cleaning services","","",0,0,"http://business.data.gov.uk/id/company/15727849",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-05-31",NULL
"""BUDMEL"" COMPANY LTD","FC025469","","","BRANCH REGISTRATION","REFER TO PARENT REGISTRY","","","POLAND","","Other company type","Active","POLAND",NULL,"2004-09-21",30,9,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC025469",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2016-10-05",NULL
"""CANNON CHAMBERS"" 17 CANNON PLACE MANAGEMENT LIMITED","02076454","","","17 CANNON PLACE","HAMPSTEAD","LONDON","","","NW3 1EH","Private Limited Company","Active","United Kingdom",NULL,"1986-11-21",31,3,"2024-12-31","2023-03-31","DORMANT","2017-04-24","2016-03-27",0,0,0,0,"74990 - Non-trading company","98000 - Residents property management","","",0,0,"http://business.data.gov.uk/id/company/02076454",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-04-10","2024-03-27"
"""CARTREF NI"" LIMITED","02591631","","","GOLEUFAN","27 CHESTER STREET","ST ASAPH","DENBIGHSHIRE","WALES","LL17 0RE","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom",NULL,"1991-03-14",23,3,"2025-12-23","2024-03-23","TOTAL EXEMPTION FULL","2017-04-11","2016-03-14",2,0,0,2,"88100 - Social work activities without accommodation for the elderly and disabled","","","",0,0,"http://business.data.gov.uk/id/company/02591631",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-03-28","2024-03-14"
"""CHANNING HOUSE""INCORPORATED HIGHGATE","00063121","","","CHANNING SCHOOL","HIGHGATE HILL","HIGHGATE","LONDON","","N6 5HF","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom",NULL,"1899-07-27",31,8,"2025-05-31","2023-08-31","FULL","2016-09-28","2015-08-31",5,5,0,0,"85200 - Primary education","85310 - General secondary education","","",0,0,"http://business.data.gov.uk/id/company/00063121",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-09-14","2024-08-31"
"""CLAREJON"" JEWELLERY & ACCESSORIES L.P.","LP018170","","","4 BADGERS CROFT VICTORIA ROAD","MORTIMER COMMON","READING","BERKSHIRE","","RG7 3SW","Limited Partnership","Active","United Kingdom",NULL,"2017-06-29",NULL,NULL,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",1,1,"http://business.data.gov.uk/id/company/LP018170",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,NULL
"""CNOC NA RI"" DEVELOPMENTS LIMITED","NI059358","","","KEYES HOUSE","9 ORCHARD TERRACE","OMAGH","CO TYRONE","","BT78 1LE","Private Limited Company","Active","United Kingdom",NULL,"2006-05-16",31,5,"2025-02-28","2023-05-31","DORMANT","2017-06-13","2016-05-16",0,0,0,0,"41100 - Development of building projects","","","",0,0,"http://business.data.gov.uk/id/company/NI059358",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-11-14","2024-10-31"
"""COME ON"" SOCIAL NETWORK LIMITED","11271757","","","2 GROSVENOR SQUARE","","SOUTHAMPTON","","ENGLAND","SO15 2BE","Private Limited Company","Active","United Kingdom",NULL,"2018-03-23",31,3,"2025-12-31","2024-03-31","MICRO ENTITY","2019-04-20",NULL,0,0,0,0,"58190 - Other publishing activities","73110 - Advertising agencies","73120 - Media representation services","",0,0,"http://business.data.gov.uk/id/company/11271757",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2024-09-24","2023-09-10"
"""COOK WITH ME"" LIMITED","09388058","","","50 EGERTON GARDENS","","LONDON","","","SW3 2BZ","Private Limited Company","Active","United Kingdom",NULL,"2015-01-14",31,1,"2025-10-31","2024-01-31","DORMANT","2017-03-08","2016-02-08",0,0,0,0,"58110 - Book publishing","","","",0,0,"http://business.data.gov.uk/id/company/09388058",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-04-25","2024-04-11"
"""COOL COFFEE LONDON"" LTD","14428804","","","FLAT 9 METROPOLITAN COURT","6 HAYLING WAY","EDGWARE","","ENGLAND","HA8 8BN","Private Limited Company","Active","United Kingdom",NULL,"2022-10-19",31,10,"2025-07-31","2023-10-31","MICRO ENTITY","2023-11-16",NULL,0,0,0,0,"56102 - Unlicensed restaurants and cafes","","","",0,0,"http://business.data.gov.uk/id/company/14428804",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-11-01","2024-10-18"
"""CORRECT WORD"" EDITING&PROOFREADING LTD","13815904","","","590 KINGSTON ROAD","","LONDON","","ENGLAND","SW20 8DN","Private Limited Company","Active","United Kingdom",NULL,"2021-12-23",31,12,"2025-09-30","2023-12-31","MICRO ENTITY","2023-01-20",NULL,0,0,0,0,"82190 - Photocopying, document preparation and other specialised office support activities","82990 - Other business support service activities n.e.c.","","",0,0,"http://business.data.gov.uk/id/company/13815904",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-01-05","2023-12-22"
"""CREATIVE ECONOMY"" LTD","15081740","","","UNIT 1A","10 STOUR ROAD","LONDON","","UNITED KINGDOM","E3 2NT","Private Limited Company","Active","United Kingdom",NULL,"2023-08-18",31,8,"2025-05-18",NULL,"NO ACCOUNTS FILED","2024-09-15",NULL,0,0,0,0,"62090 - Other information technology service activities","","","",0,0,"http://business.data.gov.uk/id/company/15081740",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-28","2024-08-14"
"""CRUSTIES SHERBURN"" LIMITED","12237364","","","5 WOLSEY PARADE","SHERBURN IN ELMET","LEEDS","","ENGLAND","LS25 6BQ","Private Limited Company","Active","United Kingdom",NULL,"2019-10-01",31,10,"2025-07-31","2023-10-31","DORMANT","2020-10-29",NULL,0,0,0,0,"99999 - Dormant Company","","","",0,0,"http://business.data.gov.uk/id/company/12237364",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-10-14","2024-09-30"
"""D"" CAR WASH LIMITED","05210908","","","7 GRANARD BUSINESS CENTRE","BUNNS LANE","LONDON","","","NW7 2DQ","Private Limited Company","Active","United Kingdom",NULL,"2004-08-20",31,8,"2026-05-31","2024-08-31","MICRO ENTITY","2016-09-06","2015-08-09",0,0,0,0,"96090 - Other service activities n.e.c.","","","",0,0,"http://business.data.gov.uk/id/company/05210908",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-23","2024-08-09"
"""D&C TRANSPORT AND LOGISTIC LIMITED","09480612","","","291 WATLING STREET","","DARTFORD","","ENGLAND","DA2 6EP","Private Limited Company","Active","United Kingdom",NULL,"2015-03-10",31,3,"2025-12-31","2024-03-31","MICRO ENTITY","2017-04-07","2016-03-10",0,0,0,0,"33170 - Repair and maintenance of other transport equipment n.e.c.","49410 - Freight transport by road","","",0,0,"http://business.data.gov.uk/id/company/09480612","2018-11-20","DC LOGISTIK LIMITED","2018-11-05","""D&C TRANSPORT AND LOGISTIC LIMITED",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-07-24","2024-07-10"
"""DAMI.MB"" LTD","09102217","","","77 CASTLE HILL DRIVE","EBBSFLEET VALLEY","SWANSCOMBE","KENT","ENGLAND","DA10 1ET","Private Limited Company","Active","United Kingdom",NULL,"2014-06-25",30,6,"2025-03-31","2023-06-30","TOTAL EXEMPTION FULL","2016-07-23","2015-06-25",0,0,0,0,"63110 - Data processing, hosting and related activities","","","",0,0,"http://business.data.gov.uk/id/company/09102217",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-12-06","2024-11-22"
"""DGS UK"" LTD","10492362","","","1 A PENDELL AVENUE","","HAYES","","ENGLAND","UB3 5HH","Private Limited Company","Active","United Kingdom",NULL,"2016-11-23",30,11,"2025-08-31","2023-11-30","TOTAL EXEMPTION FULL","2017-12-21",NULL,0,0,0,0,"78300 - Human resources provision and management of human resources functions","","","",0,0,"http://business.data.gov.uk/id/company/10492362",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-12-06","2024-11-22"
"""DOBRO"" CONSTRUCTION LTD","09266750","","","1A BRICK COURT","JETTY WALK","GRAYS","","ENGLAND","RM17 6PL","Private Limited Company","Active - Proposal to Strike off","United Kingdom",NULL,"2014-10-16",31,10,"2022-07-31","2020-10-31","MICRO ENTITY","2016-11-13","2015-10-16",0,0,0,0,"43999 - Other specialised construction activities n.e.c.","","","",0,0,"http://business.data.gov.uk/id/company/09266750",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2022-08-20","2021-08-06"
"""EMPOWER"" INTERNATIONAL WOMEN'S EMPOWERMENT & CAPACITY BUILDING ORGANISATION CIC","12145462","","","GROVE HOUSE THIRD FLOOR","LOWLANDS ROAD","HARROW","","ENGLAND","HA1 3AW","Community Interest Company","Active","United Kingdom",NULL,"2019-08-08",31,8,"2025-05-31","2023-08-31","MICRO ENTITY","2020-09-05",NULL,0,0,0,0,"85600 - Educational support services","","","",0,0,"http://business.data.gov.uk/id/company/12145462",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-21","2024-08-07"
"""EVEERGE"" LIMITED","00612503","","4385","00612503 - COMPANIES HOUSE DEFAULT ADDRESS","","CARDIFF","","","CF14 8LH","Private Limited Company","Liquidation","United Kingdom",NULL,"1958-10-07",31,12,"1995-10-31","1993-12-31","ACCOUNTS TYPE NOT AVAILABLE","1994-08-06","1993-07-09",2,2,0,0,"2875 - Manufacture other fabricated metal products","","","",0,0,"http://business.data.gov.uk/id/company/00612503",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,NULL
"""EVERDEV DIGITAL"" SP LTD","FC040025","","","SMOLYAN, 7 BULGARIA BLVD.,","2ND FLOOR,","OFFICE 7","","BULGARIA","","Other company type","Active","BULGARIA",NULL,"2022-09-27",31,12,NULL,"2023-12-31","FULL",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC040025",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,NULL
"""F.H.GREENAWAY""","LP002617","","","","","","","","","Limited Partnership","Active","United Kingdom",NULL,"1981-01-01",NULL,NULL,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/LP002617",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2017-01-15",NULL
"""FELDA EUROPE"" S.R.L.","FC036336","","","BRANCH REGISTRATION","REFER TO PARENT REGISTRY","","","","","Other company type","Active","ROMANIA",NULL,"2019-04-03",30,4,NULL,"2021-04-02","FULL",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC036336",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,NULL
"""FIRST LEADER (UK) LIMITED""","01941022","","","110 MIDDLETON AVENUE","MIDDLETON AVENUE","LONDON","","ENGLAND","E4 8EE","Private Limited Company","Active","United Kingdom",NULL,"1985-08-21",31,12,"2025-09-30","2023-12-31","TOTAL EXEMPTION FULL","2016-11-27","2015-10-30",2,2,0,0,"63990 - Other information service activities n.e.c.","","","",0,0,"http://business.data.gov.uk/id/company/01941022",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-11-13","2024-10-30"
"""FIVE TOWNS PLUS"" HOSPICE FUND LIMITED(THE)","01797810","","","THE PRINCE OF WALES HOSPICE","HALFPENNY LANE","PONTEFRACT","WEST YORKS","","WF8 4BG","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active","United Kingdom",NULL,"1984-03-07",31,3,"2025-12-31","2024-03-31","GROUP","2017-06-04","2016-05-07",0,0,0,0,"86101 - Hospital activities","","","",0,0,"http://business.data.gov.uk/id/company/01797810",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-05-21","2024-05-07"
"""FOLLOW YOUR STEPS"" LTD","15580059","","","5 FRIARS ROAD","","LONDON","","ENGLAND","E6 1LH","Private Limited Company","Active","United Kingdom",NULL,"2024-03-20",31,3,"2025-12-20",NULL,"NO ACCOUNTS FILED","2025-04-17",NULL,0,0,0,0,"41201 - Construction of commercial buildings","","","",0,0,"http://business.data.gov.uk/id/company/15580059",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-04-02",NULL
"""GRENDON COURT"" TEIGNMOUTH MANAGEMENT COMPANY LIMITED","01952156","","","135 REDDENHILL ROAD","","TORQUAY","","","TQ1 3NT","Private Limited Company","Active","United Kingdom",NULL,"1985-10-02",31,3,"2025-12-31","2024-03-31","MICRO ENTITY","2016-08-05","2015-07-08",0,0,0,0,"98000 - Residents property management","","","",0,0,"http://business.data.gov.uk/id/company/01952156",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-07-22","2024-07-08"
"""GREYFRIARS BULGARIA"" LTD.","FC028914","","","","","REFER TO PARENT REGISTRY","","","","Other company type","Active","BULGARIA",NULL,"2006-07-01",31,7,NULL,"2011-06-30","FULL",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC028914",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,NULL
"""H.A.R.D.T."" GROUP GMBH","FC025624","","","STUBENRING 18 A-1010","VIENNA","","","AUSTRIA","","Other company type","Active","AUSTRIA",NULL,"2004-07-01",31,12,NULL,"2010-12-31","FULL",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/FC025624",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2016-12-22",NULL
"""HAPPY MARK CO"" LTD","15251385","","","128 CITY ROAD","","LONDON","","UNITED KINGDOM","EC1V 2NX","Private Limited Company","Active","United Kingdom",NULL,"2023-11-01",30,11,"2025-08-01",NULL,"NO ACCOUNTS FILED","2024-11-29",NULL,0,0,0,0,"46900 - Non-specialised wholesale trade","47910 - Retail sale via mail order houses or via Internet","","",0,0,"http://business.data.gov.uk/id/company/15251385",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2024-11-14",NULL
"""HEAD-ON-IN"" KIDS CLUB","CE034558","","","","","","","","","Charitable Incorporated Organisation","Active","United Kingdom",NULL,"2023-12-07",NULL,NULL,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/CE034558",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,NULL
"""HEIGHTS"" (MANAGEMENT) NO 2 LIMITED(THE)","00851579","","","99 THE HEIGHTS","FOXGROVE ROAD","BECKENHAM","KENT","ENGLAND","BR3 5BZ","Private Limited Company","Active","United Kingdom",NULL,"1965-06-14",30,6,"2026-03-31","2024-06-30","SMALL","2017-04-29","2016-04-01",1,1,0,0,"98000 - Residents property management","","","",0,0,"http://business.data.gov.uk/id/company/00851579",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-04-15","2024-04-01"
"""I&GM COMPANY"" LTD","08283517","","","63 WHITFORD GARDENS","WHITFORD GARDENS","MITCHAM","","ENGLAND","CR4 4AB","Private Limited Company","Active","United Kingdom",NULL,"2012-11-06",31,10,"2025-07-31","2023-11-04","MICRO ENTITY","2016-12-04","2015-11-06",0,0,0,0,"81299 - Other cleaning services","96040 - Physical well-being activities","","",0,0,"http://business.data.gov.uk/id/company/08283517",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-06-18","2024-06-04"
"""I'M SPARKACUS"" ELECTRICAL LIMITED","10339143","","","THORNE LANCASTER PARKER, 5TH FLOOR PALLADIUM HOUSE","1-4 ARGYLL STREET","LONDON","","ENGLAND","W1F 7TA","Private Limited Company","Active","United Kingdom",NULL,"2016-08-22",30,9,"2025-06-30","2023-09-30","TOTAL EXEMPTION FULL","2017-09-19",NULL,0,0,0,0,"82990 - Other business support service activities n.e.c.","","","",0,0,"http://business.data.gov.uk/id/company/10339143",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-09-04","2024-08-21"
"""IF YOUR NAMES NOT DOWN"" PROTECTION AND SECURITY SERVICES LIMITED","07866300","","","RAILWAY ARCH","102A  ROCKINGHAM STREET","LONDON","","ENGLAND","SE1 6PG","Private Limited Company","Active - Proposal to Strike off","United Kingdom",NULL,"2011-11-30",30,11,"2024-08-31","2022-11-30","DORMANT","2016-12-28","2015-11-30",0,0,0,0,"80100 - Private security activities","","","",0,0,"http://business.data.gov.uk/id/company/07866300","2012-03-08","""IF YOUR NAMES NOT DOWN"" NATIONWIDE SECURITY SERVICES LIMITED",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2024-12-11","2023-11-27"
"""INTOUCH COMMUNICATION SERVICES"" LIMITED","03606467","","","29A WOODFORD AVENUE","WOODFORD AVENUE","ILFORD","","ENGLAND","IG2 6UF","Private Limited Company","Active","United Kingdom",NULL,"1998-07-29",31,12,"2025-09-30","2023-12-31","TOTAL EXEMPTION FULL","2016-08-26","2015-07-29",3,3,0,0,"61900 - Other telecommunications activities","","","",0,0,"http://business.data.gov.uk/id/company/03606467",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-12","2024-07-29"
"""IP INTELLIGENT PRODUKT"" LTD","13881179","","","27 OLD GLOUCESTER STREET","","LONDON","","UNITED KINGDOM","WC1N 3AX","Private Limited Company","Active","United Kingdom",NULL,"2022-01-31",31,1,"2024-10-31","2023-01-31","MICRO ENTITY","2023-02-28",NULL,0,0,0,0,"70100 - Activities of head offices","","","",0,0,"http://business.data.gov.uk/id/company/13881179",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-02-13","2024-01-30"
"""IPPOKRATES"" MEDICAL SERVICES LIMITED","08834169","","","BEGBIES TRAYNOR (CENTRAL) LLP","LEVEL Q, SHERATON HOUSE","SURTEES BUSINESS PARK","STOCKTON-ON-TEES","","TS18 3HR","Private Limited Company","Liquidation","United Kingdom",NULL,"2014-01-07",31,1,"2025-10-31","2024-01-31","TOTAL EXEMPTION FULL","2017-02-04","2016-01-07",0,0,0,0,"86220 - Specialists medical practice activities","","","",0,0,"http://business.data.gov.uk/id/company/08834169","2014-01-07","""IPPROKRATES"" MEDICAL SERVICES LIMITED",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2024-10-30","2023-10-16"
"""ITRESIDENT""","LP010300","","","FLAT 6","50 ROMAN ROAD","LONDON","","","E2 0LT","Limited Partnership","Active","United Kingdom",NULL,"2005-03-19",NULL,NULL,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",1,1,"http://business.data.gov.uk/id/company/LP010300",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2017-04-02",NULL
"""J.D.""INSULATING COMPANY LIMITED","00275795","","","57 CHISWELL ST.","LONDON E.C.1.","","","","","Private Limited Company","Liquidation","United Kingdom",NULL,"1933-05-11",31,3,"2001-01-31",NULL,"NO ACCOUNTS FILED",NULL,"1972-04-27",3,3,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/00275795",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2017-05-13",NULL
"""JOHNNIE"" JOHNSON HOUSING TRUST LIMITED","IP19198R","","","","","","","","","Registered Society","Active","United Kingdom",NULL,"1981-01-01",NULL,NULL,NULL,NULL,"NO ACCOUNTS FILED",NULL,NULL,0,0,0,0,"None Supplied","","","",0,0,"http://business.data.gov.uk/id/company/IP19198R",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2017-01-15",NULL
"""K"" LAUNDRY LIMITED","00226797","","","THE STATION HOUSE","15 STATION ROAD","ST. IVES","","ENGLAND","PE27 5BH","Private Limited Company","Active","United Kingdom",NULL,"1927-12-22",31,12,"2025-09-30","2023-12-31","SMALL","2017-02-10","2016-01-13",3,3,0,0,"96010 - Washing and (dry-)cleaning of textile and fur products","","","",0,0,"http://business.data.gov.uk/id/company/00226797",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-01-27","2024-01-13"
"""K"" LINE (EUROPE) LIMITED","05639474","","","6TH FLOOR","5 ALDERMANBURY SQUARE","LONDON","","ENGLAND","EC2V 7BP","Private Limited Company","Active","United Kingdom",NULL,"2005-11-29",31,3,"2025-12-31","2024-03-31","FULL","2016-12-27","2015-11-29",0,0,0,0,"50200 - Sea and coastal freight water transport","52220 - Service activities incidental to water transportation","","",0,0,"http://business.data.gov.uk/id/company/05639474","2006-02-03","""K"" LINE (EUROPE) 2006 LIMITED",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-12-13","2024-11-29"
"""K"" LINE BULK SHIPPING (UK) LIMITED","04830352","","","6TH FLOOR","5 ALDERMANBURY SQUARE","LONDON","","ENGLAND","EC2V 7BP","Private Limited Company","Active","United Kingdom",NULL,"2003-07-11",31,3,"2025-12-31","2024-03-31","FULL","2017-07-25","2016-06-27",48,10,0,38,"50200 - Sea and coastal freight water transport","","","",0,0,"http://business.data.gov.uk/id/company/04830352",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-07-11","2024-06-27"
"""K"" LINE HOLDING (EUROPE) LIMITED","05005018","","","6TH FLOOR","5 ALDERMANBURY SQUARE","LONDON","","ENGLAND","EC2V 7BP","Private Limited Company","Active","United Kingdom",NULL,"2003-12-31",31,3,"2025-12-31","2024-03-31","FULL","2017-01-28","2015-12-31",0,0,0,0,"50200 - Sea and coastal freight water transport","52220 - Service activities incidental to water transportation","52241 - Cargo handling for water transport activities","",0,0,"http://business.data.gov.uk/id/company/05005018",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2026-01-14","2024-12-31"
"""K"" LINE LNG SHIPPING (UK) LIMITED","05356484","","","6TH FLOOR","5 ALDERMANBURY SQUARE","LONDON","","ENGLAND","EC2V 7BP","Private Limited Company","Active","United Kingdom",NULL,"2005-02-08",31,3,"2025-12-31","2024-03-31","FULL","2017-03-08","2016-02-08",10,9,0,1,"50200 - Sea and coastal freight water transport","","","",0,0,"http://business.data.gov.uk/id/company/05356484",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-02-22","2024-02-08"
"""K"" LINE LOGISTICS (UK) LIMITED","02318517","","","671 SPUR ROAD","NORTH FELTHAM TRADING ESTATE","FELTHAM","MIDDLESEX","","TW14 0SL","Private Limited Company","Active","United Kingdom",NULL,"1988-11-17",31,3,"2025-12-31","2024-03-31","SMALL","2017-06-21","2016-05-24",0,0,0,0,"52230 - Service activities incidental to air transportation","52242 - Cargo handling for air transport activities","","",0,0,"http://business.data.gov.uk/id/company/02318517","2006-06-06","""K"" LINE AIR SERVICE (UK) LIMITED",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-06-07","2024-05-24"
"""KARELEAN COURT"" MANAGEMENT COMPANY LIMITED","01852173","","","KARELEAN COURT CHARLTON MEAD","DRIVE","WESTBURY ON TRYM","BRISTOL","","BS10 6LW","Private Limited Company","Active","United Kingdom",NULL,"1984-10-03",31,3,"2025-12-31","2024-03-31","MICRO ENTITY","2017-01-10","2015-12-13",0,0,0,0,"98000 - Residents property management","","","",0,0,"http://business.data.gov.uk/id/company/01852173",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2024-12-27","2023-12-13"
